,movieId,title,dbpedia_link,genres,director_uri,director,country_uri,country,runtime,writer_uri,writer,starring,languagues,studios
0,781,Stealing Beauty (1996),http://dbpedia.org/resource/Stealing_Beauty,Drama,http://dbpedia.org/resource/Bernardo_Bertolucci,Bernardo Bertolucci,http://dbpedia.org/resource/France,France,7140.0,http://dbpedia.org/resource/Susan_Minot,Susan Minot,Sinéad Cusack|Joseph Fiennes|Rachel Weisz|Jeremy Irons|Liv Tyler,French language|German language|Italian language|Spanish language|English language,Recorded Picture Company|Fox Searchlight Pictures|UGC (cinema operator)
1,1799,Suicide Kings (1997),http://dbpedia.org/resource/Suicide_Kings,Comedy|Crime|Drama|Mystery|Thriller,http://dbpedia.org/resource/Peter_O'Fallon,Peter O'Fallon,,,6360.0,,,Henry Thomas|Denis Leary|Christopher Walken|Jay Mohr|Sean Patrick Flanery|Johnny Galecki,,
2,521,Romeo Is Bleeding (1993),http://dbpedia.org/resource/Romeo_Is_Bleeding,Crime|Thriller,http://dbpedia.org/resource/Peter_Medak,Peter Medak,,,6600.0,http://dbpedia.org/resource/Hilary_Henkin,Hilary Henkin,Roy Scheider|Annabella Sciorra|Lena Olin|Gary Oldman|Juliette Lewis,,PolyGram Filmed Entertainment|Working Title Films
3,3596,Screwed (2000),http://dbpedia.org/resource/Screwed_(2000_film),Comedy,http://dbpedia.org/resource/Scott_Alexander_and_Larry_Karaszewski,Scott Alexander and Larry Karaszewski,,,4860.0,,,Sarah Silverman|Danny DeVito|Norm Macdonald|Elaine Stritch|Sherman Hemsley|Daniel Benzali|Dave Chappelle,,Brillstein-Grey Entertainment
4,3682,Magnum Force (1973),http://dbpedia.org/resource/Magnum_Force,Action|Crime|Drama|Thriller,http://dbpedia.org/resource/Clint_Eastwood,Clint Eastwood,,,7440.0,http://dbpedia.org/resource/Michael_Cimino,Michael Cimino,Clint Eastwood|Robert Urich|David Soul|Tim Matheson|Hal Holbrook|Felton Perry|Mitchell Ryan,,The Malpaso Company
5,2635,"Mummy's Curse, The (1944)",http://dbpedia.org/resource/The_Mummy's_Curse,Horror,http://dbpedia.org/resource/Leslie_Goodwins,Leslie Goodwins,,,3720.0,http://dbpedia.org/resource/Leon_Abrams,Leon Abrams,"Lon Chaney, Jr.|Virginia Christine",,
6,1590,Event Horizon (1997),http://dbpedia.org/resource/Event_Horizon_(film),Horror|Sci-Fi|Thriller,http://dbpedia.org/resource/Paul_W._S._Anderson,Paul W. S. Anderson,,,5700.0,http://dbpedia.org/resource/Andrew_Kevin_Walker,Andrew Kevin Walker,Kathleen Quinlan|Sam Neill|Joely Richardson|Laurence Fishburne,,Paramount Pictures
7,116,Anne Frank Remembered (1995),http://dbpedia.org/resource/Anne_Frank_Remembered,Documentary,http://dbpedia.org/resource/Jon_Blair,Jon Blair,,,7020.0,,,Glenn Close|Kenneth Branagh,,
8,3719,Love's Labour's Lost (2000),http://dbpedia.org/resource/Love's_Labour's_Lost_(2000_film),Comedy|Romance,,,,,,,,,,
9,3811,Breaker Morant (1980),http://dbpedia.org/resource/Breaker_Morant_(film),Drama|War,http://dbpedia.org/resource/Bruce_Beresford,Bruce Beresford,,,6420.0,http://dbpedia.org/resource/David_Stevens_(screenwriter),David Stevens (screenwriter),Jack Thompson (actor)|Edward Woodward,,South Australian Film Corporation
